"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "XML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\users\UserGet.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 8, 133
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\users\UserUpdate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 114, 3, 11, 128
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\pages\users\UsersList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 6, 70
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\provider\Authentication.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 4, 8, 63
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\routes\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 82, 2, 9, 93
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\routes\RegularRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 2, 3, 42
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\routes\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 244, 5, 7, 256
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\sikau\Documents\Uni\Bakalaurinis\bballstats-fantasy\bballstats-app\tailwind.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"Total", "-", 235, 18333, 0, 20, 53, 148, 4477, 204, 535, 24005
